property_id,host_id,guest_id,total_listings,availability,neighbourhood,type,price,amenities,booked_nights,stay_nights,propery_reviews,last_review,complaint
555663,204802,503341,6,237,Oud-Oost,Shared room,65,[Towels; Wifi; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Long term stays allowed; Washer; Dryer; Luggage dropoff allowed; Air conditioning; Elevator; Security cameras; ],1,1,19,7--November--2021,0
555668,367469,614602,3,279,Noord-West,Private room,122,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Washer; Carbon monoxide alarm; Fire extinguisher; First aid kit; Dryer; Luggage dropoff allowed; Cleaning products; Dedicated workspace; Room-darkening shades; Body soap; Lock on bedroom door; Single level home; Backyard; Free parking on premises; High chair; Free street parking; Ethernet connection; Central heating; Crib; EV charger; Garden or backyard; Travel crib; Clothing storage; Bikes; Paid washer; ],1,1,6,21--November--2021,0
555998,343821,605954,1,207,De Pijp - Rivierenbuurt,Entire home,109,[Wifi; Kitchen; Smoke alarm; Heating; Long term stays allowed; Refrigerator; Coffee maker; Washer; Oven; Dishwasher; Stove; TV; Dedicated workspace; Dining table; Freezer; Outdoor dining area; BBQ grill; Nespresso machine; Central heating; Netflix; ],7,7,1,16--March--2022,0
556336,322340,589309,1,296,Centrum-West,Private room,140,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Long term stays allowed; Refrigerator; Shampoo; Iron; Carbon monoxide alarm; Fire extinguisher; First aid kit; TV; Dryer; Body soap; Lock on bedroom door; Air conditioning; ],3,3,6,31--January--2022,0
556739,224526,649655,7,303,Centrum-West,Entire home,569,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Fire extinguisher; Oven; First aid kit; Private entrance; Dishwasher; Microwave; Stove; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Paid parking off premises; Shower gel; Cleaning products; Dining table; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Bathtub; Body soap; Drying rack for clothing; Laundromat nearby; Outdoor dining area; Portable fans; Toaster; Air conditioning; Crib; EV charger; Clothing storage; Building staff; Window guards; ],1,1,5,7--March--2022,0
556742,381740,796429,7,300,Centrum-West,Entire home,543,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Fire extinguisher; Oven; First aid kit; Dishwasher; Microwave; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Paid parking off premises; Shower gel; Cleaning products; Dining table; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Bathtub; Body soap; Drying rack for clothing; Outdoor dining area; Toaster; Air conditioning; Crib; Clothing storage; Building staff; ],1,1,4,23--April--2022,0
556911,423822,558459,1,144,De Baarsjes - Oud-West,Entire home,187,[Towels; Wifi; Bed linens; Kitchen; Heating; Hot water; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Oven; Private entrance; Dishwasher; Microwave; Stove; TV; Extra pillows and blankets; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Freezer; Bathtub; Room-darkening shades; Drying rack for clothing; Single level home; Nespresso machine; Central heating; Baking sheet; Board games; Street parking; Mini fridge; Clothing storage; ],2,2,3,15--February--2022,0
557104,375760,652657,1,221,De Pijp - Rivierenbuurt,Entire home,299,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Carbon monoxide alarm; Oven; First aid kit; Private entrance; Dishwasher; Stove; TV; Dryer; Host greets you; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Waterfront; Drying rack for clothing; Laundromat nearby; Outdoor dining area; Single level home; Backyard; Portable fans; High chair; BBQ grill; Nespresso machine; Central heating; Baking sheet; EV charger; Street parking; Free dryer; Garden or backyard; Clothing storage; Barbecue utensils; Outlet covers; Baby bath; Changing table; Sound system; ],2,2,2,28--May--2022,0
557366,228670,569761,1,195,Gaasperdam - Driemond,Entire home,112,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Cooking basics; Washer; Oven; Private entrance; Dishwasher; Microwave; Stove; TV; Dryer; Luggage dropoff allowed; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Room-darkening shades; Drying rack for clothing; Laundromat nearby; Outdoor dining area; Free parking on premises; Free street parking; Central heating; Mini fridge; Clothing storage; Barbecue utensils; Lake access; Netflix; ],1,1,3,8--February--2022,0
557409,224145,521183,1,290,Centrum-West,Entire home,188,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Cooking basics; Washer; Oven; Dishwasher; Stove; TV; Dryer; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Bathtub; Room-darkening shades; Body soap; Drying rack for clothing; Outdoor dining area; Lockbox; Portable fans; Toaster; BBQ grill; Central heating; Free dryer; Barbecue utensils; Sound system; ],3,3,3,15--January--2022,0
