date,amount,currency,merchant,description,id,reportedBalance,,
06/04/2023,43.64,USD,Shopify Payments payout,,xYjBqJ7q91H0YZ1V4Q16imzVwp89P6sJPxpAq,272.49,,
06/04/2023,60.87,USD,Shopify Payments payout,,nJPxERjEDbHKAJremwrQuYnmyvwP7xipPdAZb,272.49,,
06/04/2023,12.22,USD,Shopify Payments payout,,AeQB5p15myH4rMdg8JdOf97d0qEeRQCbP4xbY,272.49,,
06/04/2023,-25.06,USD,FAMOUS WOK,,aBVXx1LxbJI5PRMmyoM3FYPZKNDqQ0H9NO3yJ,272.49,,
06/04/2023,360.56,USD,Shopify Payments payout,,ZwZ3AenAv0tmb7oBNEozC0Q3eKA8B0Ck5YyLK,272.49,,
06/04/2023,-12.99,USD,ANYTIME MAILBOX,,jr609vk9dbUAj1L9OvLnCvVaXzj9xEF1a7kQk,272.49,,
06/04/2023,-61.9,USD,INST XFER,,5bZek5ykE4tPa3ZbODZvFXOR0ZP59XC4YjEAj,272.49,,
06/04/2023,-23.39,USD,Cinnabon,,royKwx8w7JcAmvrB71rkC8qkPmMgN9takDjKd,272.49,,
06/04/2023,70.84,USD,ACH transfer from AFTERPAY 1217,,89m70RA01wU3BPmon9m0Cwpy4NDn6wIvqb7VR,272.49,,
06/04/2023,54.56,USD,ACH transfer from Sezzle,,v9v51m81oLU8AwpPjepdIv3rbPMZpaFkrePkn,272.49,,
06/04/2023,-10,USD,USPS STAMPS ENDICIA,,4o87Kj3KErc1an8RB98VtXMqN6OkyYUJg4z1m,272.49,,
05/04/2023,-11.98,USD,Michaels,,35JvyxByOmIEpRJ4e6JVsVMdnBJX3zCPq4bYa,77.41,,
05/04/2023,-5.15,USD,CASH APP*VANKELIA H,,dKE4ZAPZgRip31o7X4oBCgEN8MwdD1toaJMEM,77.41,,
05/04/2023,-55,USD,EXPO WHOLESALE & IMPORT,,PeADLdnLZ1HMEx0K1Y04saYygK7mXxfOq4Xnk,77.41,,
05/04/2023,-2060,USD,CASH APP*VANKELIA H,,18aNBZPBzvt6pea04daouyz5qraonbhYxL3RV,77.41,,
05/04/2023,-27.57,USD,Little Caesar's,,DewvgnBgQAHJB7LQjNLZCX0Q7B53qYFXKBJnk,77.41,,
05/04/2023,-20.1,USD,ROMAN DELIGHT PIZZA -,,BenEoQPoNKHMr5w0N3wpskaKqePEbjsvZJ6MA,77.41,,
05/04/2023,-48.25,USD,Walmart,,q53Ydj8dwJIXVm17BD1gfxV04nNAPat163eOV,77.41,,
05/04/2023,-10,USD,USPS STAMPS ENDICIA,,Le3dQ0jQmwHmxOKYb0KDuLZq9vw0z6CJXr9AM,77.41,,
05/04/2023,-434.23,USD,DD,,wV09Po8PjDCpKJvqYDv6CX4zmjOMaJtRxgZwo,77.41,,
05/04/2023,66.74,USD,Shopify Payments payout,,pZBYQ08QdJtjDgAeOZAnfwMadZNZb8S4RB5a3,77.41,,
05/04/2023,-35.07,USD,INST XFER,,zY4j3vV3oqHPYobyeAb1TABqpR68oktM1R4L5,77.41,,
05/04/2023,-14.25,USD,WONATRADING,,yYroB38B7PHPYm1ogX1DTkANeVw1JLsRyd0kQ,77.41,,
05/04/2023,-23.54,USD,INST XFER,,dKE4ZAPZgRip31o7X4oBCjYm0Xw4zgHowL9gp,77.41,,
05/04/2023,-16.5,USD,WONATRADING,,wV09Po8PjDCpKJvqYDv6CJ0Y3VOvNZFRBpP90,77.41,,
05/04/2023,30.93,USD,Shopify Payments payout,,Qev1DwXDQPH1dQjJeYjVtkDrAZ7Z1Yi4VZaJy,77.41,,
05/04/2023,-4.12,USD,CASH APP*EVAN J HOR,,6g5NAzKABasqx45D615QhxNZkman50tAX1MvE,77.41,,
05/04/2023,29.25,USD,Shopify Payments payout,,Re0P16n14qH7K6r3QYr9H0b9Xzoz7Mtqavj18,77.41,,
05/04/2023,207.61,USD,ACH transfer from AFTERPAY 1217,,Yd8xk9nkrvFpMo5xBE54Cpmy67Y1jZfz4YrDd,77.41,,
05/04/2023,-3.77,USD,INST XFER,,mx1rMa0MgoIRwQyeXby8FAveZNPpJnt8AQd9J,77.41,,
05/04/2023,-20,USD,USPS STAMPS ENDICIA,,KeB5RO0R9dHDOByEx9yZc1xkg6ez8VFyg803b,77.41,,
04/04/2023,-145.8,USD,S W TRADING/ACCSSRY PLZ,,q53Ydj8dwJIXVm17BD15iV7RKj8ywJFE99ZQg,-1944.45,,
04/04/2023,42.91,USD,Shopify Payments payout,,v9v51m81oLU8AwpPjepaC3mBk3KPBBtpP9EOL,-1944.45,,
04/04/2023,50.41,USD,Shop Pay Installments payout,,Qev1DwXDQPH1dQjJeYjBhajvkQ6NprhOREgNm,-1944.45,,
04/04/2023,-9.64,USD,Prime Video*HS5JZ1PJ0,,35JvyxByOmIEpRJ4e6J0UMj7rYPegDiAnnZa4,-1944.45,,
